Date,StockCode,Open,High,Low,Close,Volume,Return
2019-01-02,ABSA,11.5,11.5,11.45,11.45,152200.0,
2019-01-03,ABSA,11.1,11.8,11.2,11.3,185100.0,-0.0131004366812226
2019-01-04,ABSA,11.8,11.85,11.8,11.8,52400.0,0.0442477876106195
2019-01-07,ABSA,10.45,10.5,10.35,10.4,79300.0,-0.1186440677966101
2019-01-08,ABSA,10.65,10.7,10.6,10.6,56400.0,0.0192307692307691
2019-01-09,ABSA,10.65,10.7,10.6,10.6,56400.0,0.0
2019-01-10,ABSA,11.0,11.5,10.85,11.1,51700.0,0.0471698113207548
2019-01-11,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.2162162162162162
2019-01-14,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-15,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-16,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-17,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-18,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-21,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-22,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-23,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-24,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-25,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-28,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-29,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-30,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-01-31,ABSA,13.3,13.7,13.35,13.5,2995400.0,0.0
2019-02-01,ABSA,10.95,11.0,10.8,10.85,120200.0,-0.1962962962962963
2019-02-04,ABSA,11.8,11.9,11.85,11.9,688600.0,0.0967741935483872
2019-02-05,ABSA,12.0,11.9,10.25,10.5,365700.0,-0.1176470588235294
2019-02-06,ABSA,12.0,11.9,10.25,10.5,365700.0,0.0
2019-02-07,ABSA,10.4,10.5,10.3,10.35,186400.0,-0.0142857142857143
2019-02-08,ABSA,10.6,10.85,10.65,10.7,517400.0,0.0338164251207728
2019-02-11,ABSA,10.6,10.85,10.65,10.7,517400.0,0.0
2019-02-12,ABSA,12.45,13.0,12.65,12.9,118600.0,0.205607476635514
2019-02-13,ABSA,12.45,13.0,12.65,12.9,118600.0,0.0
2019-02-14,ABSA,12.45,13.0,12.65,12.9,118600.0,0.0
2019-02-15,ABSA,12.45,13.0,12.65,12.9,118600.0,0.0
2019-02-18,ABSA,12.45,13.0,12.65,12.9,118600.0,0.0
2019-02-19,ABSA,12.45,13.0,12.65,12.9,118600.0,0.0
2019-02-20,ABSA,12.45,13.0,12.65,12.9,118600.0,0.0
2019-02-21,ABSA,12.45,13.0,12.65,12.9,118600.0,0.0
2019-02-22,ABSA,12.45,13.0,12.65,12.9,118600.0,0.0
2019-02-25,ABSA,12.45,13.0,12.65,12.9,118600.0,0.0
2019-02-26,ABSA,12.45,13.0,12.65,12.9,118600.0,0.0
2019-02-27,ABSA,12.45,13.0,12.65,12.9,118600.0,0.0
2019-02-28,ABSA,12.45,13.0,12.65,12.9,118600.0,0.0
2019-03-01,ABSA,10.85,11.0,10.85,10.9,53200.0,-0.1550387596899224
