Date,StockCode,Open,High,Low,Close,Volume,Return
2019-01-02,COOP,16.1,16.1,15.3,15.75,153600.0,
2019-01-03,COOP,14.5,15.0,14.0,14.45,523500.0,-0.0825396825396825
2019-01-04,COOP,14.95,15.0,14.9,14.95,38900.0,0.0346020761245675
2019-01-07,COOP,12.0,12.1,11.85,11.95,64500.0,-0.2006688963210702
2019-01-08,COOP,11.95,12.0,11.9,11.95,71000.0,0.0
2019-01-09,COOP,11.95,12.0,11.9,11.95,71000.0,0.0
2019-01-10,COOP,11.9,12.2,11.85,12.0,129600.0,0.0041841004184099
2019-01-11,COOP,14.55,16.0,14.65,15.8,4758500.0,0.3166666666666666
2019-01-14,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-15,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-16,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-17,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-18,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-21,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-22,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-23,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-24,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-25,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-28,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-29,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-30,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-01-31,COOP,14.55,16.0,14.65,15.8,4758500.0,0.0
2019-02-01,COOP,14.3,14.8,13.6,13.85,69300.0,-0.1234177215189874
2019-02-04,COOP,14.95,15.5,14.95,15.0,273000.0,0.0830324909747293
2019-02-05,COOP,12.6,12.9,12.5,12.55,132800.0,-0.1633333333333333
2019-02-06,COOP,12.6,12.9,12.5,12.55,132800.0,0.0
2019-02-07,COOP,11.95,12.0,11.9,11.9,1683000.0,-0.051792828685259
2019-02-08,COOP,11.95,12.0,11.8,11.95,197600.0,0.0042016806722688
2019-02-11,COOP,11.95,12.0,11.8,11.95,197600.0,0.0
2019-02-12,COOP,16.05,16.2,15.5,15.95,908000.0,0.3347280334728033
2019-02-13,COOP,16.05,16.2,15.5,15.95,908000.0,0.0
2019-02-14,COOP,16.05,16.2,15.5,15.95,908000.0,0.0
2019-02-15,COOP,16.05,16.2,15.5,15.95,908000.0,0.0
2019-02-18,COOP,16.05,16.2,15.5,15.95,908000.0,0.0
2019-02-19,COOP,16.05,16.2,15.5,15.95,908000.0,0.0
2019-02-20,COOP,16.05,16.2,15.5,15.95,908000.0,0.0
2019-02-21,COOP,16.05,16.2,15.5,15.95,908000.0,0.0
2019-02-22,COOP,16.05,16.2,15.5,15.95,908000.0,0.0
2019-02-25,COOP,16.05,16.2,15.5,15.95,908000.0,0.0
2019-02-26,COOP,16.05,16.2,15.5,15.95,908000.0,0.0
2019-02-27,COOP,16.05,16.2,15.5,15.95,908000.0,0.0
2019-02-28,COOP,16.05,16.2,15.5,15.95,908000.0,0.0
2019-03-01,COOP,13.85,14.0,13.75,13.8,24000.0,-0.134796238244514
2019-03-04,COOP,15.0,15.2,14.95,15.0,458700.0,0.0869565217391303
2019-03-05,COOP,12.55,12.8,12.55,12.55,1962500.0,-0.1633333333333333
2019-03-06,COOP,12.45,12.45,12.1,12.1,4193000.0,-0.0358565737051793
2019-03-07,COOP,11.9,12.3,11.9,12.15,60600.0,0.0041322314049587
2019-03-08,COOP,11.9,12.3,11.9,12.15,60600.0,0.0
2019-03-11,COOP,11.9,12.3,11.9,12.15,60600.0,0.0
2019-03-12,COOP,15.95,16.15,15.65,16.1,1179100.0,0.3251028806584364
2019-03-13,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-03-14,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-03-15,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-03-18,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-03-19,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-03-20,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-03-21,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-03-22,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-03-25,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-03-26,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-03-27,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-03-28,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-03-29,COOP,15.95,16.15,15.65,16.1,1179100.0,0.0
2019-04-01,COOP,13.8,14.0,13.8,13.9,74500.0,-0.1366459627329193
2019-04-02,COOP,15.75,16.0,15.2,15.45,198300.0,0.1115107913669064
2019-04-03,COOP,14.45,15.0,14.05,14.5,106100.0,-0.0614886731391585
2019-04-04,COOP,15.0,15.0,14.9,14.95,47100.0,0.0310344827586206
2019-04-05,COOP,15.0,15.0,14.9,14.95,47100.0,0.0
2019-04-08,COOP,15.0,15.0,14.9,14.95,47100.0,0.0
2019-04-09,COOP,11.4,11.5,11.25,11.35,179000.0,-0.2408026755852842
2019-04-10,COOP,12.05,12.25,12.0,12.05,54300.0,0.0616740088105727
2019-04-11,COOP,15.8,16.0,14.75,15.7,10955100.0,0.3029045643153525
2019-04-12,COOP,16.1,16.0,15.65,15.95,364500.0,0.015923566878981
2019-04-15,COOP,16.1,16.0,15.65,15.95,364500.0,0.0
2019-04-16,COOP,16.1,16.0,15.65,15.95,364500.0,0.0
