Date,StockCode,Open,High,Low,Close,Volume,Return
2019-01-02,EQTY,40.9,41.0,40.0,40.9,2964200.0,
2019-01-03,EQTY,41.15,41.1,40.55,40.95,1758400.0,0.0012224938875307
2019-01-04,EQTY,41.6,43.0,41.5,43.0,1835400.0,0.0500610500610498
2019-01-07,EQTY,38.95,40.0,38.0,39.2,357800.0,-0.0883720930232557
2019-01-08,EQTY,40.2,40.15,40.0,40.0,139700.0,0.0204081632653061
2019-01-09,EQTY,40.2,40.15,40.0,40.0,139700.0,0.0
2019-01-10,EQTY,37.45,37.5,37.4,37.45,773500.0,-0.0637499999999999
2019-01-11,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.3551401869158876
2019-01-14,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-15,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-16,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-17,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-18,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-21,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-22,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-23,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-24,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-25,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-28,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-29,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-30,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-01-31,EQTY,46.5,51.0,47.45,50.75,23830800.0,0.0
2019-02-01,EQTY,34.85,35.4,34.05,34.65,863000.0,-0.3172413793103449
2019-02-04,EQTY,43.0,43.95,43.0,43.0,12466700.0,0.240981240981241
2019-02-05,EQTY,40.9,42.9,40.45,41.95,2005300.0,-0.0244186046511627
2019-02-06,EQTY,40.9,42.9,40.45,41.95,2005300.0,0.0
2019-02-07,EQTY,39.2,40.0,38.9,39.4,229400.0,-0.0607866507747318
2019-02-08,EQTY,40.0,41.0,40.05,40.45,833000.0,0.0266497461928936
2019-02-11,EQTY,40.0,41.0,40.05,40.45,833000.0,0.0
2019-02-12,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.2484548825710753
2019-02-13,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.0
2019-02-14,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.0
2019-02-15,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.0
2019-02-18,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.0
2019-02-19,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.0
2019-02-20,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.0
2019-02-21,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.0
2019-02-22,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.0
2019-02-25,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.0
2019-02-26,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.0
2019-02-27,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.0
2019-02-28,EQTY,51.0,50.75,50.0,50.5,1634900.0,0.0
2019-03-01,EQTY,34.65,34.5,34.0,34.1,4147000.0,-0.3247524752475247
2019-03-04,EQTY,43.0,43.85,43.2,43.45,3341800.0,0.2741935483870967
2019-03-05,EQTY,41.95,42.25,41.5,41.95,5984600.0,-0.0345224395857307
2019-03-06,EQTY,38.85,39.2,38.0,38.35,5833300.0,-0.0858164481525626
2019-03-07,EQTY,39.4,41.0,39.4,39.55,1101000.0,0.0312907431551499
2019-03-08,EQTY,39.4,41.0,39.4,39.55,1101000.0,0.0
2019-03-11,EQTY,39.4,41.0,39.4,39.55,1101000.0,0.0
2019-03-12,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.2895069532237675
2019-03-13,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-03-14,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-03-15,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-03-18,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-03-19,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-03-20,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-03-21,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-03-22,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-03-25,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-03-26,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-03-27,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-03-28,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-03-29,EQTY,50.5,51.25,50.5,51.0,4474000.0,0.0
2019-04-01,EQTY,34.1,34.45,33.55,33.75,1817300.0,-0.3382352941176471
2019-04-02,EQTY,40.9,42.0,40.95,41.05,2501200.0,0.2162962962962962
2019-04-03,EQTY,40.95,41.0,40.5,40.6,252000.0,-0.0109622411693056
2019-04-04,EQTY,43.45,43.85,43.0,43.3,638000.0,0.066502463054187
2019-04-05,EQTY,43.45,43.85,43.0,43.3,638000.0,0.0
2019-04-08,EQTY,43.45,43.85,43.0,43.3,638000.0,0.0
2019-04-09,EQTY,39.5,39.5,39.0,39.25,1576500.0,-0.0935334872979214
2019-04-10,EQTY,37.5,38.05,37.4,37.9,158000.0,-0.0343949044585987
2019-04-11,EQTY,50.75,51.0,46.0,49.65,2402400.0,0.3100263852242744
2019-04-12,EQTY,51.0,52.25,51.0,51.75,5782600.0,0.0422960725075529
2019-04-15,EQTY,51.0,52.25,51.0,51.75,5782600.0,0.0
2019-04-16,EQTY,51.0,52.25,51.0,51.75,5782600.0,0.0
2019-04-17,EQTY,51.0,52.25,51.0,51.75,5782600.0,0.0
2019-04-18,EQTY,51.0,52.25,51.0,51.75,5782600.0,0.0
2019-04-19,EQTY,51.0,52.25,51.0,51.75,5782600.0,0.0
2019-04-22,EQTY,51.0,52.25,51.0,51.75,5782600.0,0.0
2019-04-23,EQTY,51.0,52.25,51.0,51.75,5782600.0,0.0
2019-04-24,EQTY,51.0,52.25,51.0,51.75,5782600.0,0.0
