Date,StockCode,Open,High,Low,Close,Volume,Return
2019-01-02,KCB,40.7,41.0,40.6,40.9,5775900.0,
2019-01-03,KCB,41.65,42.0,41.3,41.65,2313700.0,0.0183374083129583
2019-01-04,KCB,44.05,44.35,44.0,44.15,696000.0,0.0600240096038415
2019-01-07,KCB,38.25,39.5,38.0,38.7,326200.0,-0.1234428086070213
2019-01-08,KCB,40.0,40.2,39.95,40.0,360900.0,0.0335917312661497
2019-01-09,KCB,40.0,40.2,39.95,40.0,360900.0,0.0
2019-01-10,KCB,42.0,42.4,42.0,42.0,538100.0,0.05
2019-01-11,KCB,51.75,54.0,51.75,53.25,12647400.0,0.2678571428571428
2019-01-14,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-15,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-16,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-17,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-18,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-21,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-22,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-23,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-24,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-25,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-28,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-29,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-30,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-01-31,KCB,51.75,54.0,51.75,53.25,12647400.0,0.0
2019-02-01,KCB,37.45,37.45,37.0,37.1,876500.0,-0.3032863849765258
2019-02-04,KCB,44.15,45.0,44.2,44.4,4626100.0,0.1967654986522911
2019-02-05,KCB,42.4,42.95,42.1,42.25,1706600.0,-0.0484234234234234
2019-02-06,KCB,42.4,42.95,42.1,42.25,1706600.0,0.0
2019-02-07,KCB,38.7,40.0,38.5,39.2,805400.0,-0.0721893491124259
2019-02-08,KCB,40.0,40.25,39.95,40.0,213400.0,0.0204081632653061
2019-02-11,KCB,40.0,40.25,39.95,40.0,213400.0,0.0
2019-02-12,KCB,50.0,50.75,49.5,50.0,358300.0,0.25
2019-02-13,KCB,50.0,50.75,49.5,50.0,358300.0,0.0
2019-02-14,KCB,50.0,50.75,49.5,50.0,358300.0,0.0
2019-02-15,KCB,50.0,50.75,49.5,50.0,358300.0,0.0
2019-02-18,KCB,50.0,50.75,49.5,50.0,358300.0,0.0
2019-02-19,KCB,50.0,50.75,49.5,50.0,358300.0,0.0
2019-02-20,KCB,50.0,50.75,49.5,50.0,358300.0,0.0
2019-02-21,KCB,50.0,50.75,49.5,50.0,358300.0,0.0
2019-02-22,KCB,50.0,50.75,49.5,50.0,358300.0,0.0
2019-02-25,KCB,50.0,50.75,49.5,50.0,358300.0,0.0
2019-02-26,KCB,50.0,50.75,49.5,50.0,358300.0,0.0
2019-02-27,KCB,50.0,50.75,49.5,50.0,358300.0,0.0
2019-02-28,KCB,50.0,50.75,49.5,50.0,358300.0,0.0
2019-03-01,KCB,37.1,37.5,37.0,37.05,908200.0,-0.259
2019-03-04,KCB,44.4,45.0,44.6,44.9,1142900.0,0.2118758434547909
2019-03-05,KCB,42.25,45.6,40.5,41.3,1185800.0,-0.0801781737193764
