Date,StockCode,Open,High,Low,Close,Volume,Return
2019-01-02,SCBK,194.75,195.0,195.0,195.0,9000.0,
2019-01-03,SCBK,195.0,199.0,196.0,197.75,1900.0,0.014102564102564
2019-01-04,SCBK,215.25,210.0,210.0,210.0,600.0,0.0619469026548673
2019-01-07,SCBK,194.5,194.0,193.75,193.75,1100.0,-0.0773809523809523
2019-01-08,SCBK,195.75,197.5,196.0,196.0,14400.0,0.0116129032258065
2019-01-09,SCBK,195.75,197.5,196.0,196.0,14400.0,0.0
2019-01-10,SCBK,199.75,199.75,195.0,199.5,5500.0,0.0178571428571427
2019-01-11,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0764411027568923
2019-01-14,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-15,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-16,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-17,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-18,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-21,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-22,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-23,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-24,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-25,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-28,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-29,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-30,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-01-31,SCBK,205.25,220.0,205.0,214.75,82200.0,0.0
2019-02-01,SCBK,194.5,200.0,196.0,197.25,1600.0,-0.0814901047729919
2019-02-04,SCBK,210.0,215.0,212.0,214.75,5800.0,0.0887198986058301
2019-02-05,SCBK,192.25,200.0,191.0,196.0,5200.0,-0.0873108265424912
2019-02-06,SCBK,192.25,200.0,191.0,196.0,5200.0,0.0
2019-02-07,SCBK,193.75,193.5,192.25,193.25,2800.0,-0.0140306122448979
2019-02-08,SCBK,196.0,197.75,196.0,197.0,800.0,0.019404915912031
2019-02-11,SCBK,196.0,197.75,196.0,197.0,800.0,0.0
2019-02-12,SCBK,193.25,198.0,194.75,196.0,8500.0,-0.0050761421319797
2019-02-13,SCBK,193.25,198.0,194.75,196.0,8500.0,0.0
2019-02-14,SCBK,193.25,198.0,194.75,196.0,8500.0,0.0
